Date,MSCIDeveloped,MSCIEmerging,Commodity,Gold,DowToGold,ShillerPE,Cpi
1989-8-17,549.295,5.883391444602424,144.51898734177217,374.7,7.187883640245531,17.73,124.5
1989-8-18,549.295,5.883391444602424,144.0939314966493,374.6,7.153230112119593,17.73,124.5
1989-8-19,549.295,5.883391444602424,143.07379746835443,373.9,7.189087991441562,17.73,124.5
1989-8-20,549.295,5.883391444602424,143.07379746835443,373.9,7.189087991441562,17.73,124.5
1989-8-21,549.295,5.883391444602424,143.07379746835443,373.9,7.189087991441562,17.73,124.5
1989-8-22,549.295,5.883391444602424,143.66887565152643,374.5,7.068090787716956,17.73,124.5
1989-8-23,549.295,5.883391444602424,145.36909903201789,374.5,7.078771695594125,17.73,124.5
1989-8-24,549.295,5.883391444602424,145.19907669396872,371.9,7.201129335842968,17.73,124.5
1989-8-25,549.295,5.883391444602424,144.94404318689502,370.6,7.378845116028062,17.73,124.5
1989-8-26,549.295,5.883391444602424,144.0939314966493,366.7,7.451322607035724,17.73,124.5
1989-8-27,549.295,5.883391444602424,144.0939314966493,366.7,7.451322607035724,17.73,124.5
1989-8-28,549.295,5.883391444602424,144.0939314966493,366.7,7.451322607035724,17.73,124.5
1989-8-29,549.295,5.883391444602424,144.348965003723,366.0,7.495628415300547,17.73,124.5
1989-8-30,549.295,5.883391444602424,145.36909903201789,369.3,7.383157324668291,17.73,124.5
1989-8-31,549.295,5.883391444602424,145.6241325390916,367.6,7.421653971708378,17.73,124.5
1989-9-1,535.165,6.0024543887096735,146.2192107222636,365.4,7.491242474001096,17.73,124.5
1989-9-2,535.165,6.0024543887096735,147.324355919583,366.1,7.517344987708276,17.71,124.8
1989-9-3,535.165,6.0024543887096735,147.324355919583,366.1,7.517344987708276,17.71,124.8
1989-9-4,535.165,6.0024543887096735,147.324355919583,366.1,7.517344987708276,17.71,124.8
1989-9-5,535.165,6.0024543887096735,148.17446760982875,366.1,7.517344987708276,17.71,124.8
1989-9-6,535.165,6.0024543887096735,148.3444899478779,365.1,7.517666392769104,17.71,124.8
1989-9-7,535.165,6.0024543887096735,151.31988086373792,367.4,7.402830702231901,17.71,124.8
1989-9-8,535.165,6.0024543887096735,151.31988086373792,366.0,7.395901639344262,17.71,124.8
1989-9-9,535.165,6.0024543887096735,151.5749143708116,365.0,7.423287671232877,17.71,124.8
1989-9-10,535.165,6.0024543887096735,151.5749143708116,365.0,7.423287671232877,17.71,124.8
1989-9-11,535.165,6.0024543887096735,151.5749143708116,365.0,7.423287671232877,17.71,124.8
1989-9-12,535.165,6.0024543887096735,152.8500819061802,364.6,7.417443773998903,17.71,124.8
1989-9-13,535.165,6.0024543887096735,152.1699925539836,364.8,7.421326754385965,17.71,124.8
1989-9-14,535.165,6.0024543887096735,153.4451600893522,365.0,7.341095890410959,17.71,124.8
1989-9-15,535.165,6.0024543887096735,152.1699925539836,365.5,7.291108071135431,17.71,124.8
1989-9-16,535.165,6.0024543887096735,151.99997021593447,368.9,7.250203307129303,17.71,124.8
1989-9-17,535.165,6.0024543887096735,151.99997021593447,368.9,7.250203307129303,17.71,124.8
1989-9-18,535.165,6.0024543887096735,151.99997021593447,368.9,7.250203307129303,17.71,124.8
1989-9-19,535.165,6.0024543887096735,153.4451600893522,366.5,7.332878581173261,17.71,124.8
1989-9-20,535.165,6.0024543887096735,152.1699925539836,366.2,7.338339705079193,17.71,124.8
1989-9-21,535.165,6.0024543887096735,151.31988086373792,370.1,7.251823831396919,17.71,124.8
1989-9-22,535.165,6.0024543887096735,151.7449367088608,370.3,7.238185255198488,17.71,124.8
1989-9-23,535.165,6.0024543887096735,149.0245793000745,370.7,7.23388184515781,17.71,124.8
1989-9-24,535.165,6.0024543887096735,149.0245793000745,370.7,7.23388184515781,17.71,124.8
1989-9-25,535.165,6.0024543887096735,149.0245793000745,370.7,7.23388184515781,17.71,124.8
1989-9-26,535.165,6.0024543887096735,148.3444899478779,374.6,7.0987720234917235,17.71,124.8
1989-9-27,535.165,6.0024543887096735,148.3444899478779,373.1,7.139908871616188,17.71,124.8
1989-9-28,535.165,6.0024543887096735,149.19460163812363,372.3,7.17996239591727,17.71,124.8
1989-9-29,535.165,6.0024543887096735,152.42502606105734,372.8,7.228809012875536,17.71,124.8
1989-9-30,549.417,6.747759255012476,154.9753611317945,372.0,7.238709677419355,17.71,124.8
1989-10-1,549.417,6.747759255012476,154.9753611317945,372.0,7.238709677419355,17.71,124.8
1989-10-2,549.417,6.747759255012476,154.9753611317945,372.0,7.238709677419355,17.64,125.4
1989-10-3,549.417,6.747759255012476,157.9507520476545,372.1,7.292932007524858,17.64,125.4
1989-10-4,549.417,6.747759255012476,159.22591958302309,371.4,7.416801292407109,17.64,125.4
1989-10-5,549.417,6.747759255012476,159.65097542814595,371.5,7.459219380888291,17.64,125.4
1989-10-6,549.417,6.747759255012476,156.67558451228592,367.9,7.539005164446861,17.64,125.4
1989-10-7,549.417,6.747759255012476,156.8456068503351,368.2,7.565181966322651,17.64,125.4
1989-10-8,549.417,6.747759255012476,156.8456068503351,368.2,7.565181966322651,17.64,125.4
1989-10-9,549.417,6.747759255012476,156.8456068503351,368.2,7.565181966322651,17.64,125.4
1989-10-10,549.417,6.747759255012476,155.14538346984364,367.4,7.597713663581928,17.64,125.4
1989-10-11,549.417,6.747759255012476,157.6957185405808,365.2,7.626779846659366,17.64,125.4
1989-10-12,549.417,6.747759255012476,160.24605361131796,366.1,7.575525812619503,17.64,125.4
1989-10-13,549.417,6.747759255012476,163.4764780342517,367.4,7.511703864997279,17.64,125.4
1989-10-14,549.417,6.747759255012476,166.62189128816087,367.3,6.995099373808876,17.64,125.4
1989-10-15,549.417,6.747759255012476,166.62189128816087,367.3,6.995099373808876,17.64,125.4
1989-10-16,549.417,6.747759255012476,166.62189128816087,367.3,6.995099373808876,17.64,125.4
1989-10-17,549.417,6.747759255012476,164.75164556962025,371.2,7.158943965517242,17.64,125.4
